Image Pair,Similarity Score,Highlight
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/3/6/3614.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/3/6/3614.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/h/khm_500_1_1_1_2.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/h/khm_500_1_1_1_2.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/p/kpl-dscn3053_pl_1.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/k/p/kpl-dscn3053_pl_1.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/b/rb1_pl.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/b/rb1_pl.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/_/r_pl-250.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/r/_/r_pl-250.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/p/o/pololu-red.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/p/o/pololu-red.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn3-500.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn3-500.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn6-500_1_1.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/i/sinn6-500_1_1.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/l/sled_pl_1_2_1.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/l/sled_pl_1_2_1.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/l/tled_pl.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/l/tled_pl.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/u/b/ubled_pl.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/u/b/ubled_pl.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/m/o/monolithic_web.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/m/o/monolithic_web.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/1/3/1381.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/1/3/1381.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/p/i/pin2_web.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/p/i/pin2_web.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/3/m/3mmled_web.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/3/m/3mmled_web.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/w/sw-500_1.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/s/w/sw-500_1.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/e/t/eth8020_web_2.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/e/t/eth8020_web_2.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/o/torxis_red_web_1.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/o/torxis_red_web_1.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/o/torxis_industrial.jpg', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/t/o/torxis_industrial.jpg')",1.0,No
"('https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/c/h/channel.png', 'https://staging.active-robots.com/media/catalog/product/cache/99e8d6a8c437c5c96bb076de9bab784d/c/h/channel.png')",1.0,No
